Parametros;precisao-mean;precisao-std;revocacao-mean;revocacao-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;acuracia-mean;acuracia-std;tempo-mean;tempo-std
SVDD_RBF_0.001_scale;0.9047794653335162;0.019523593611720874;0.397095937280493;0.05448845675437937;0.5490765131976335;0.05233227047821415;0.8590991616028733;0.010457150652876909;0.6902962777760415;0.02038101828341668;0.07513492107391358;0.008733783015669669
SVDD_RBF_0.01_scale;0.8970932240272402;0.016690258981816464;0.4171033013844515;0.05157468956996435;0.5670257696224509;0.04680483014996721;0.8588352155672048;0.009353684598407346;0.6970832161348459;0.018986367361155564;0.08787508010864258;0.005523702577128433
SVDD_RBF_0.05_scale;0.896939176173657;0.01699250710228978;0.4177419391385131;0.0517172116157726;0.5675514310422731;0.0467376940933393;0.8587782333970001;0.009308266804423928;0.6972872977674991;0.018837768401383837;0.08781447410583496;0.004834344274268742
SVDD_RBF_0.1_scale;0.8970069530771546;0.017305700400475486;0.41795481838986703;0.05159442154645833;0.5677705598504862;0.04654888111900903;0.8587951454005116;0.009308848865697597;0.6973893906720422;0.018768374572907948;0.09058175086975098;0.005792651301766901
SVDD_RBF_0.2_scale;0.8964387246839163;0.01646182802625785;0.4176355561597897;0.05201661371434054;0.5673440066857496;0.04711528013212952;0.8586756086659619;0.009254359331973418;0.6971342365430092;0.01904682092058341;0.08934781551361085;0.004385725666340296
SVDD_RBF_0.3_scale;0.8988554882174211;0.017375339560228305;0.41135556159789727;0.05439722799337277;0.5617184818766641;0.04990893570020347;0.8578227493498929;0.009156432388371341;0.6950419049702578;0.02021882292774284;0.09048843383789062;0.004842475047197841
SVDD_RBF_0.4_scale;0.9030451064229105;0.01805971233553929;0.38559762535970815;0.05993099007821516;0.5369991794282801;0.05796898215490408;0.8560565798657622;0.008569805518915176;0.6849374160077508;0.022635023825705897;0.09556264877319336;0.0044497597912107325
SVDD_RBF_0.5_scale;0.9135765945079658;0.009396485260703228;0.3423867627398998;0.06443007983422164;0.4941287477520057;0.0694447259979991;0.8543980920195328;0.007148435786435567;0.6688113208529967;0.026475919978197256;0.09859194755554199;0.006979493684640688
SVDD_RBF_0.6_scale;0.9231785439589825;0.00965723983532957;0.2898075136519158;0.05753596072483142;0.43765829776155296;0.06815510179901607;0.8522800443223536;0.007407375331635658;0.6476837411840692;0.024490068272162702;0.10752358436584472;0.0037631227934643687
SVDD_RBF_0.7_scale;0.9278342478367214;0.008204953036717881;0.22701413907960027;0.049969804218374325;0.361962719847975;0.06515552838520278;0.8493656603057692;0.00817486245175221;0.6208924795032869;0.022152613880777754;0.1117786169052124;0.0029950045951742084
SVDD_RBF_0.8_scale;0.9440843575340232;0.013349709649590537;0.15400006797634425;0.05763879871710641;0.26002037688454893;0.08661136252732612;0.8446022275359286;0.010597333624587642;0.5896608015334772;0.02538419871158895;0.12212352752685547;0.006848588990608555
SVDD_RBF_0.9_scale;0.9658783446968826;0.023833024342313422;0.08673679559513289;0.04098950112201012;0.1562839027232674;0.06871983324186512;0.8386928253412256;0.01254269531209509;0.5602159577460387;0.01823327998314164;0.13057429790496827;0.004153026365092064
